GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,Connect4,3,GAME_OVER,8,1,2,2,random,1.0,-1.0,BasicMCTS,1,random,1,2,2,BasicMCTS,BasicMCTS,random,1
879079583,Connect4,3,GAME_OVER,7,0,2,3,rhea,-1.0,1.0,FirstAction,2,rhea,2,1,1,FirstAction,FirstAction,rhea,0
-619666105,Connect4,11,GAME_OVER,23,0,2,4,OSLA,-1.0,1.0,rmhc,2,OSLA,2,1,1,rmhc,rmhc,OSLA,0
503938916,Connect4,3,GAME_OVER,7,0,2,5,mcts,-1.0,1.0,random,2,mcts,2,1,1,random,random,mcts,0
-428737539,Connect4,8,GAME_OVER,18,1,2,6,OSLA,1.0,-1.0,mcts,1,OSLA,1,2,2,mcts,mcts,OSLA,1
-1745970416,Connect4,5,GAME_OVER,11,0,2,7,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1436161366,Connect4,3,GAME_OVER,8,1,2,8,rmhc,1.0,-1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-1151041315,Connect4,6,GAME_OVER,13,0,2,9,BasicMCTS,-1.0,1.0,rhea,2,BasicMCTS,2,1,1,rhea,rhea,BasicMCTS,0
697067980,Connect4,3,GAME_OVER,7,0,2,10,mcts,-1.0,1.0,rmhc,2,mcts,2,1,1,rmhc,rmhc,mcts,0
1168140970,Connect4,4,GAME_OVER,9,0,2,11,FirstAction,-1.0,1.0,random,2,FirstAction,2,1,1,random,random,FirstAction,0
-1491060889,Connect4,4,GAME_OVER,10,1,2,12,OSLA,1.0,-1.0,BasicMCTS,1,OSLA,1,2,2,BasicMCTS,BasicMCTS,OSLA,1
-1819802610,Connect4,5,GAME_OVER,11,0,2,13,FirstAction,-1.0,1.0,rmhc,2,FirstAction,2,1,1,rmhc,rmhc,FirstAction,0
-2121274456,Connect4,7,GAME_OVER,16,1,2,14,rhea,1.0,-1.0,mcts,1,rhea,1,2,2,mcts,mcts,rhea,1
259280696,Connect4,3,GAME_OVER,7,0,2,15,OSLA,-1.0,1.0,random,2,OSLA,2,1,1,random,random,OSLA,0
1706137030,Connect4,4,GAME_OVER,9,0,2,16,mcts,-1.0,1.0,rhea,2,mcts,2,1,1,rhea,rhea,mcts,0
545138396,Connect4,3,GAME_OVER,8,1,2,17,random,1.0,-1.0,FirstAction,1,random,1,2,2,FirstAction,FirstAction,random,1
1376458976,Connect4,5,GAME_OVER,12,1,2,18,OSLA,1.0,-1.0,BasicMCTS,1,OSLA,1,2,2,BasicMCTS,BasicMCTS,OSLA,1
1195311045,Connect4,5,GAME_OVER,12,1,2,19,rmhc,1.0,-1.0,BasicMCTS,1,rmhc,1,2,2,BasicMCTS,BasicMCTS,rmhc,1
813477029,Connect4,7,GAME_OVER,16,1,2,20,rmhc,1.0,-1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-1466178614,Connect4,10,GAME_OVER,22,1,2,21,random,1.0,-1.0,OSLA,1,random,1,2,2,OSLA,OSLA,random,1
-118322159,Connect4,3,GAME_OVER,7,0,2,22,mcts,-1.0,1.0,FirstAction,2,mcts,2,1,1,FirstAction,FirstAction,mcts,0
-1428166355,Connect4,3,GAME_OVER,7,0,2,23,rmhc,-1.0,1.0,rhea,2,rmhc,2,1,1,rhea,rhea,rmhc,0
1144294523,Connect4,5,GAME_OVER,11,0,2,24,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
2100098225,Connect4,3,GAME_OVER,7,0,2,25,mcts,-1.0,1.0,random,2,mcts,2,1,1,random,random,mcts,0
23994827,Connect4,14,GAME_OVER,29,0,2,26,OSLA,-1.0,1.0,random,2,OSLA,2,1,1,random,random,OSLA,0
1662792176,Connect4,4,GAME_OVER,10,1,2,27,OSLA,1.0,-1.0,mcts,1,OSLA,1,2,2,mcts,mcts,OSLA,1
2013120665,Connect4,6,GAME_OVER,13,0,2,28,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1880183632,Connect4,3,GAME_OVER,8,1,2,29,rmhc,1.0,-1.0,rhea,1,rmhc,1,2,2,rhea,rhea,rmhc,1
-1377239692,Connect4,4,GAME_OVER,10,1,2,30,random,1.0,-1.0,BasicMCTS,1,random,1,2,2,BasicMCTS,BasicMCTS,random,1
1795532617,Connect4,5,GAME_OVER,11,0,2,31,FirstAction,-1.0,1.0,OSLA,2,FirstAction,2,1,1,OSLA,OSLA,FirstAction,0
-1548656463,Connect4,4,GAME_OVER,9,0,2,32,rhea,-1.0,1.0,rmhc,2,rhea,2,1,1,rmhc,rmhc,rhea,0
-653656736,Connect4,3,GAME_OVER,7,0,2,33,mcts,-1.0,1.0,rhea,2,mcts,2,1,1,rhea,rhea,mcts,0
