GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,Connect4,3,GAME_OVER,8,1,2,2,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
879079583,Connect4,3,GAME_OVER,8,1,2,3,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-619666105,Connect4,4,GAME_OVER,10,1,2,4,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
503938916,Connect4,3,GAME_OVER,8,1,2,5,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-428737539,Connect4,3,GAME_OVER,8,1,2,6,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1745970416,Connect4,4,GAME_OVER,10,1,2,7,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1436161366,Connect4,3,GAME_OVER,8,1,2,8,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1151041315,Connect4,3,GAME_OVER,8,1,2,9,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
697067980,Connect4,3,GAME_OVER,8,1,2,10,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1168140970,Connect4,6,GAME_OVER,13,0,2,11,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-1491060889,Connect4,3,GAME_OVER,8,1,2,12,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1819802610,Connect4,3,GAME_OVER,8,1,2,13,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-2121274456,Connect4,3,GAME_OVER,8,1,2,14,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
259280696,Connect4,3,GAME_OVER,7,0,2,15,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
1706137030,Connect4,3,GAME_OVER,8,1,2,16,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
545138396,Connect4,4,GAME_OVER,9,0,2,17,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
1376458976,Connect4,3,GAME_OVER,8,1,2,18,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1195311045,Connect4,5,GAME_OVER,12,1,2,19,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
813477029,Connect4,3,GAME_OVER,8,1,2,20,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1466178614,Connect4,5,GAME_OVER,12,1,2,21,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-118322159,Connect4,4,GAME_OVER,10,1,2,22,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1428166355,Connect4,3,GAME_OVER,8,1,2,23,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1144294523,Connect4,3,GAME_OVER,7,0,2,24,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
2100098225,Connect4,3,GAME_OVER,8,1,2,25,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
23994827,Connect4,3,GAME_OVER,8,1,2,26,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1662792176,Connect4,3,GAME_OVER,8,1,2,27,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
2013120665,Connect4,3,GAME_OVER,8,1,2,28,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1880183632,Connect4,3,GAME_OVER,7,0,2,29,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-1377239692,Connect4,6,GAME_OVER,14,1,2,30,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1795532617,Connect4,4,GAME_OVER,9,0,2,31,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-1548656463,Connect4,3,GAME_OVER,8,1,2,32,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-653656736,Connect4,3,GAME_OVER,8,1,2,33,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-400394132,Connect4,5,GAME_OVER,12,1,2,34,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1422203009,Connect4,5,GAME_OVER,11,0,2,35,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-1113178468,Connect4,4,GAME_OVER,9,0,2,36,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-175367348,Connect4,3,GAME_OVER,8,1,2,37,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1362911089,Connect4,3,GAME_OVER,8,1,2,38,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-347120262,Connect4,4,GAME_OVER,9,0,2,39,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
1416514647,Connect4,3,GAME_OVER,8,1,2,40,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1570736736,Connect4,3,GAME_OVER,8,1,2,41,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1532681659,Connect4,4,GAME_OVER,9,0,2,42,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
2038358424,Connect4,3,GAME_OVER,8,1,2,43,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1950377550,Connect4,8,GAME_OVER,17,0,2,44,2,random,2,1,1,FirstAction,random,-1.0,1.0,FirstAction,FirstAction,random,0
-389679841,Connect4,9,GAME_OVER,20,1,2,45,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1652369011,Connect4,3,GAME_OVER,8,1,2,46,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
649728961,Connect4,3,GAME_OVER,8,1,2,47,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1939385821,Connect4,3,GAME_OVER,8,1,2,48,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-765151654,Connect4,3,GAME_OVER,8,1,2,49,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-382843140,Connect4,3,GAME_OVER,8,1,2,50,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
1616233144,Connect4,3,GAME_OVER,8,1,2,51,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1825767405,Connect4,3,GAME_OVER,8,1,2,52,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1681345762,Connect4,4,GAME_OVER,10,1,2,53,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
-1466223696,Connect4,3,GAME_OVER,8,1,2,54,1,random,1,2,2,FirstAction,random,1.0,-1.0,FirstAction,FirstAction,random,1
